Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,7.32,7.35,7.18,7.33,28710424,7.33
2016-01-21,7.34,7.47,7.22,7.26,33534428,7.26
2016-01-20,7.37,7.55,7.27,7.46,46859232,7.46
2016-01-19,7.27,7.44,7.26,7.42,42877860,7.42
2016-01-18,7.14,7.34,7.1,7.27,38355700,7.27
2016-01-15,7.62,7.62,7.3,7.34,52349872,7.34
2016-01-14,7.5,7.65,7.43,7.63,47428220,7.63
2016-01-13,7.8,7.81,7.59,7.61,43472024,7.61
2016-01-12,7.66,7.84,7.6,7.76,47167536,7.76
2016-01-11,7.9,7.97,7.69,7.7,55973596,7.7
2016-01-08,7.96,8.07,7.74,7.99,74852368,7.99
2016-01-07,8.17,8.2,7.7,7.83,20888300,7.83
2016-01-06,8.09,8.33,8.05,8.31,75100832,8.31
2016-01-05,8.04,8.21,7.98,8.07,63433604,8.07
2016-01-04,8.34,8.38,8.11,8.13,47720508,8.13
2015-12-31,8.39,8.42,8.33,8.35,27095492,8.35
2015-12-30,8.43,8.45,8.37,8.41,28609052,8.41
2015-12-29,8.37,8.43,8.36,8.42,32048500,8.42
2015-12-28,8.5,8.54,8.37,8.37,55537568,8.37
2015-12-25,8.54,8.54,8.41,8.48,32067280,8.48
2015-12-24,8.57,8.6,8.44,8.48,58327364,8.48
2015-12-23,8.53,8.64,8.51,8.54,85984768,8.54
2015-12-22,8.52,8.56,8.48,8.52,50951432,8.52
2015-12-21,8.43,8.55,8.39,8.53,73620272,8.53
2015-12-18,8.47,8.56,8.44,8.48,58596300,8.48
2015-12-17,8.43,8.52,8.42,8.48,75080568,8.48
2015-12-16,8.44,8.57,8.44,8.46,69301384,8.46
2015-12-15,8.41,8.43,8.35,8.37,31128168,8.37
2015-12-14,8.26,8.44,8.23,8.43,46332052,8.43
2015-12-11,8.32,8.34,8.25,8.3,33883264,8.3
2015-12-10,8.36,8.39,8.3,8.33,34599512,8.33
2015-12-09,8.38,8.44,8.32,8.35,40797652,8.35
2015-12-08,8.45,8.47,8.36,8.38,49953536,8.38
2015-12-07,8.54,8.6,8.51,8.55,32494090,8.55
2015-12-04,8.75,8.77,8.51,8.58,73344072,8.58
2015-12-03,8.58,8.95,8.52,8.82,86051600,8.82
2015-12-02,8.4,8.67,8.33,8.64,75711280,8.64
2015-12-01,8.4,8.45,8.35,8.41,40660516,8.41
2015-11-30,8.45,8.51,8.3,8.4,60963752,8.4
2015-11-27,8.92,8.94,8.45,8.46,96005432,8.46
2015-11-26,9,9.02,8.95,8.97,59862904,8.97
2015-11-25,8.96,9,8.91,8.98,60161408,8.98
2015-11-24,8.91,8.92,8.82,8.91,46292552,8.91
2015-11-23,8.97,9.03,8.91,8.92,59979004,8.92
2015-11-20,9.02,9.03,8.95,8.99,50086988,8.99
2015-11-19,9.03,9.05,8.94,9.04,77119096,9.04
2015-11-18,9.03,9.17,8.92,9.05,88825216,9.05
2015-11-17,9,9.14,8.96,9.04,84135784,9.04
2015-11-16,8.85,8.99,8.82,8.98,52982400,8.98
2015-11-13,9.04,9.1,8.93,8.94,65213896,8.94
2015-11-12,9.21,9.21,9.04,9.11,70945800,9.11
2015-11-11,9.22,9.33,9.13,9.2,86488936,9.2
2015-11-10,9.18,9.34,9.08,9.26,125169088,9.26
2015-11-09,9.06,9.46,9.06,9.24,157276080,9.24
2015-11-06,8.94,9.16,8.85,9.1,142950768,9.1
2015-11-05,8.7,9.21,8.66,8.98,199671792,8.98
2015-11-04,8.48,8.75,8.48,8.74,82773448,8.74
2015-11-03,8.53,8.56,8.43,8.47,37982304,8.47
2015-11-02,8.66,8.73,8.52,8.53,72050976,8.53
2015-10-30,8.77,8.92,8.66,8.75,69901408,8.75
2015-10-29,8.81,8.88,8.78,8.82,55365812,8.82
2015-10-28,8.77,8.93,8.75,8.79,83441688,8.79
2015-10-27,8.84,8.85,8.68,8.81,64998352,8.81
2015-10-26,8.87,9.01,8.83,8.89,96119184,8.89
2015-10-23,8.8,8.85,8.76,8.83,75521664,8.83
2015-10-22,8.72,8.84,8.72,8.82,84805704,8.82
2015-10-21,9,9.09,8.62,8.92,185126176,8.92
2015-10-20,8.85,8.99,8.76,8.97,91236264,8.97
2015-10-19,8.96,9.08,8.85,8.9,107808752,8.9
2015-10-16,8.85,9.03,8.82,8.95,132851704,8.95
2015-10-15,8.69,8.83,8.66,8.82,93173896,8.82
2015-10-14,8.64,8.79,8.62,8.73,86823256,8.73
2015-10-13,8.66,8.7,8.62,8.68,62600468,8.68
2015-10-12,8.54,8.78,8.5,8.77,100424488,8.77
2015-10-09,8.46,8.55,8.4,8.52,59280184,8.52
2015-10-08,8.56,8.6,8.42,8.44,64544240,8.44
2015-09-30,8.27,8.31,8.22,8.23,28206902,8.23
2015-09-29,8.33,8.37,8.22,8.26,47641432,8.26
2015-09-28,8.49,8.51,8.34,8.43,49029440,8.43
2015-09-25,8.38,8.58,8.35,8.53,94244680,8.53
2015-09-24,8.37,8.42,8.34,8.4,39336116,8.4
2015-09-23,8.46,8.5,8.35,8.36,52070080,8.36
2015-09-22,8.51,8.63,8.48,8.55,66349084,8.55
2015-09-21,8.38,8.49,8.29,8.47,50398140,8.47
2015-09-18,8.55,8.58,8.4,8.42,49351072,8.42
2015-09-17,8.6,8.79,8.5,8.51,90031272,8.51
2015-09-16,8.4,8.85,8.24,8.7,105103888,8.7
2015-09-15,8.35,8.66,8.29,8.42,88361000,8.42
2015-09-14,8.81,8.83,8.39,8.44,79215560,8.44
2015-09-11,8.82,8.85,8.72,8.75,52854604,8.75
2015-09-10,8.79,8.92,8.75,8.78,96554128,8.78
2015-09-09,8.67,9.04,8.61,8.95,148808064,8.95
2015-09-08,8.53,8.71,8.34,8.64,85961824,8.64
2015-09-07,8.69,8.86,8.53,8.57,97520160,8.57
2015-09-02,8.74,8.92,8.6,8.69,152899408,8.69
2015-09-01,8.98,9.3,8.94,9.15,193013376,9.15
2015-08-31,8.94,8.97,8.65,8.88,109078200,8.88
2015-08-28,8.89,9.11,8.79,9.08,165667984,9.08
2015-08-27,8.5,8.74,8.34,8.72,144269296,8.72
2015-08-26,8.54,8.73,7.97,8.52,188708464,8.52
2015-08-25,9.02,9.56,8.5,8.5,214238864,8.5
2015-08-24,9.74,10.43,8.94,9.45,249613568,9.45
2015-08-21,10.09,10.45,9.9,9.94,128401296,9.94
2015-08-20,10.53,10.54,10.25,10.26,141581056,10.26
2015-08-19,10.82,11,10.44,10.73,226135424,10.73
2015-08-18,10.76,11.34,10.74,11.07,316632704,11.07
2015-08-17,10.85,10.89,10.7,10.75,93895952,10.75
2015-08-14,10.94,11.1,10.84,10.92,117528968,10.92
2015-08-13,10.93,11,10.74,10.95,100427096,10.95
2015-08-12,10.93,11.04,10.89,10.93,103650984,10.93
2015-08-11,11,11.24,10.83,11.09,181876816,11.09
2015-08-10,10.63,11.07,10.59,11.01,192292112,11.01
2015-08-07,10.51,10.7,10.45,10.61,101491312,10.61
2015-08-06,10.43,10.59,10.37,10.42,91217648,10.42
2015-08-05,10.74,10.83,10.55,10.57,125702528,10.57
2015-08-04,10.53,10.83,10.44,10.76,158953088,10.76
2015-08-03,10.82,10.89,10.47,10.51,183054960,10.51
2015-07-31,11.44,11.54,10.88,11.03,226907968,11.03
2015-07-30,11.54,11.79,11.32,11.65,274002016,11.65
2015-07-29,11.59,11.81,11.25,11.59,293794208,11.59
2015-07-28,11.77,12.8,11.46,11.79,400822112,11.79
2015-07-27,13.37,13.59,12.25,12.31,422481792,12.31
2015-07-24,13.48,14.05,13.47,13.62,473956224,13.62
2015-07-23,13.4,13.69,13.26,13.6,358423136,13.6
2015-07-22,13.19,13.94,13.16,13.57,442769856,13.57
2015-07-21,13.41,13.8,13.15,13.42,377457600,13.42
2015-07-20,12.84,13.99,12.74,13.67,559375488,13.67
2015-07-17,12.99,13.34,12.84,13.11,380505792,13.11
2015-07-16,13.46,14.04,12.62,13.34,581416896,13.34
2015-07-15,12.04,13.46,11.95,13.46,549939904,13.46
2015-07-14,12.17,12.47,11.76,12.23,270624128,12.23
2015-07-13,12.62,12.9,12.25,12.47,331969952,12.47
2015-07-10,12.33,13.73,12.04,13.03,492499616,13.03
2015-07-09,11.42,13.11,10.96,12.81,437065440,12.81
2015-07-08,12.24,13.24,12.04,12.17,873562048,12.17
2015-07-07,12.84,14.09,12.38,13.4,731780480,13.4
2015-07-06,12.14,12.85,11.79,12.85,769667648,12.85
2015-07-03,11.15,12,11.06,11.67,462361856,11.67
2015-07-02,10.64,11.64,10.04,11.52,452276256,11.52
2015-07-01,10.97,11.09,10.56,10.58,184177472,10.58
2015-06-30,10.61,11.19,10.26,11.17,251346368,11.17
2015-06-29,10.59,10.84,9.65,10.79,276563456,10.79
2015-06-26,10.99,11.21,10.11,10.37,245942592,10.37
2015-06-25,11.62,11.67,11.1,11.16,164463200,11.16
2015-06-24,11.39,11.71,11.29,11.66,193141552,11.66
2015-06-23,11.04,11.41,10.74,11.33,164963024,11.33
2015-06-19,11.55,11.79,10.94,11.01,197947504,11.01
2015-06-18,12.02,12.14,11.6,11.64,163538816,11.64
2015-06-17,11.99,12.17,11.78,12.12,173834080,12.12
2015-06-16,12.24,12.34,11.87,11.93,192269040,11.93
2015-06-15,12.82,12.9,12.42,12.44,223867040,12.44
2015-06-12,12.84,12.92,12.72,12.8,213647184,12.8
2015-06-11,12.8,12.82,12.55,12.75,182365792,12.75
2015-06-10,12.92,12.94,12.74,12.82,216996544,12.82
2015-06-09,13.05,13.13,12.77,13.02,327958368,13.02
2015-06-08,12.61,13.29,12.55,13.17,428162976,13.17
2015-06-05,12.5,12.74,12.35,12.66,327034144,12.66
2015-06-04,12.18,12.47,11.65,12.45,259534144,12.45
2015-06-03,12.21,12.4,12.05,12.19,168860640,12.19
2015-06-02,12.19,12.24,11.99,12.21,186221312,12.21
2015-06-01,11.76,12.28,11.68,12.24,206188272,12.24
2015-05-29,12.01,12.12,11.54,11.76,234515920,11.76
2015-05-28,13.07,13.08,11.94,12.04,347162592,12.04
2015-05-27,13.03,13.43,13.03,13.19,325406688,13.19
2015-05-26,12.91,12.94,12.59,12.89,264892992,12.89
2015-05-25,12.45,12.83,12.39,12.82,246929008,12.82
2015-05-22,12.12,12.57,12.11,12.48,252557664,12.48
2015-05-21,12.01,12.08,11.91,12.06,132553472,12.06
2015-05-20,12.02,12.27,11.95,12.01,176444752,12.01
2015-05-19,11.61,12.03,11.59,12.03,150925600,12.03
2015-05-18,11.83,11.88,11.59,11.63,139756352,11.63
2015-05-15,12.25,12.28,11.92,11.95,159422192,11.95
2015-05-14,12.2,12.53,12.05,12.31,207588432,12.31
2015-05-13,12.53,12.53,12.14,12.27,185725376,12.27
2015-05-12,12.54,12.62,12.35,12.53,193729536,12.53
2015-05-11,12.29,12.51,12.14,12.5,205843392,12.5
2015-05-08,12.14,12.28,11.95,12.25,172212000,12.25
2015-05-07,12.44,12.44,11.94,12.01,190776496,12.01
2015-05-06,12.84,13.05,12.34,12.45,247620432,12.45
2015-05-05,13.36,13.82,12.83,12.85,338553056,12.85
2015-05-04,13.21,13.44,12.96,13.34,220610816,13.34
2015-04-30,13.55,13.68,13.2,13.23,255161152,13.23
2015-04-29,13.94,13.94,13.34,13.55,370461152,13.55
2015-04-28,14.3,15.2,13.89,14.17,850168256,14.17
2015-04-27,13.44,14.49,13.26,14.49,629974528,14.49
2015-04-24,13,13.74,12.94,13.16,513249952,13.16
2015-04-23,13.04,13.47,12.92,13.18,415148768,13.18
2015-04-22,12.8,13.1,12.74,13.06,317706272,13.06
2015-04-21,12.67,12.84,12.55,12.83,240213568,12.83
2015-04-20,13.04,13.29,12.62,12.64,430602880,12.64
2015-04-17,13.02,13.47,12.79,13.22,560664960,13.22
2015-04-16,12.37,13.09,12.25,12.85,455575968,12.85
2015-04-15,12.35,12.58,12.1,12.31,293677216,12.31
2015-04-14,12.45,12.51,12.24,12.35,232794800,12.35
2015-04-13,12.32,12.58,12.27,12.53,273635776,12.53
2015-04-10,12.19,12.34,12.07,12.3,248162048,12.3
2015-04-09,12.19,12.55,12.05,12.23,323054016,12.23
2015-04-08,12.11,12.53,11.79,12.35,474708128,12.35
2015-04-07,11.76,12.12,11.7,12.11,358964288,12.11
2015-04-03,11.64,11.73,11.55,11.68,174613920,11.68
2015-04-02,11.82,11.93,11.6,11.75,221555824,11.75
2015-04-01,11.55,11.73,11.47,11.7,175679728,11.7
2015-03-31,11.75,12.01,11.53,11.57,276463200,11.57
2015-03-30,11.5,11.76,11.45,11.72,239974192,11.72
2015-03-27,11.9,11.94,11.49,11.54,241169168,11.54
2015-03-26,11.14,11.84,11.09,11.83,388691456,11.83
2015-03-25,11.35,11.39,11.15,11.17,163900560,11.17
2015-03-24,11.59,11.68,11.29,11.43,210254496,11.43
2015-03-23,11.49,11.7,11.46,11.64,238049360,11.64
2015-03-20,11.44,11.69,11.29,11.52,236236352,11.52
2015-03-19,11.44,11.71,11.37,11.48,222508592,11.48
2015-03-18,11.32,11.54,11.17,11.49,256208032,11.49
2015-03-17,11,11.33,10.97,11.32,259456096,11.32
2015-03-16,10.92,11.05,10.87,11.04,149504400,11.04
2015-03-13,10.92,11.03,10.84,10.9,112534240,10.9
2015-03-12,10.64,10.98,10.55,10.87,169043744,10.87
2015-03-11,10.61,10.72,10.55,10.59,78045512,10.59
2015-03-10,10.66,10.68,10.55,10.61,72511936,10.61
2015-03-09,10.54,10.78,10.36,10.73,119690552,10.73
2015-03-06,10.5,10.69,10.5,10.61,68837344,10.61
2015-03-05,10.66,10.71,10.51,10.55,109298752,10.55
2015-03-04,10.76,10.94,10.6,10.76,113158536,10.76
2015-03-03,11.09,11.1,10.75,10.77,192965280,10.77
2015-03-02,11.28,11.3,11.07,11.16,146734544,11.16
2015-02-27,11.13,11.44,11.03,11.26,196104832,11.26
2015-02-26,11,11.19,10.74,11.18,165277600,11.18
2015-02-25,11.14,11.4,10.99,11.07,199745232,11.07
2015-02-17,10.93,11.01,10.89,10.92,72968928,10.92
2015-02-16,11.03,11.03,10.82,10.91,102752360,10.91
2015-02-13,11.03,11.27,10.95,11.02,117198104,11.02
2015-02-12,10.99,11.11,10.75,11.02,78547504,11.02
2015-02-11,11.09,11.12,10.95,11,59322744,11
2015-02-10,10.82,11.07,10.76,11.07,87253880,11.07
2015-02-09,10.63,11.01,10.54,10.87,110660464,10.87
2015-02-06,10.95,10.96,10.62,10.73,129164864,10.73
2015-02-05,11.47,11.48,10.98,10.99,148438560,10.99
2015-02-04,11.63,11.76,11.23,11.25,161537920,11.25
2015-02-03,11.26,11.61,11.06,11.53,168884640,11.53
2015-02-02,11.33,11.41,11.05,11.06,134274304,11.06
2015-01-30,11.88,11.95,11.45,11.48,141374048,11.48
2015-01-29,11.83,11.97,11.54,11.82,182113568,11.82
2015-01-28,12.28,12.39,12.04,12.09,167160592,12.09
2015-01-27,12.91,13.05,12.25,12.45,252416672,12.45
2015-01-26,12.52,13.04,12.38,12.93,232707552,12.93
2015-01-23,12.49,13.1,12.4,12.66,311384736,12.66
2015-01-22,12.45,12.66,12.23,12.47,249139328,12.47
2015-01-21,11.6,12.74,11.49,12.53,351314976,12.53
2015-01-20,11.45,11.88,11.27,11.67,247500976,11.67
2015-01-19,11.84,12.18,11.18,11.28,343042272,11.28
2015-01-16,11.94,12.74,11.9,12.44,327446112,12.44
2015-01-15,11.21,12.22,11.06,12.13,249404976,12.13
2015-01-14,11.47,11.58,11,11.15,160847520,11.15
2015-01-13,11.48,11.68,11.37,11.48,133755440,11.48
2015-01-12,11.67,11.8,11.4,11.46,195602400,11.46
2015-01-09,11.92,12.54,11.68,11.91,297197472,11.91
2015-01-08,12.04,12.98,11.92,12.05,425734784,12.05
2015-01-07,11.34,12.26,11.27,12.23,329258336,12.23
2015-01-06,11.94,12.17,11.34,11.53,389234912,11.53
2015-01-05,10.74,11.73,10.61,11.73,372688928,11.73
2014-12-31,10.34,10.77,10.17,10.65,283472832,10.65
2014-12-30,10.12,10.45,10.04,10.29,197364192,10.29
2014-12-29,10.44,10.72,10.06,10.17,314836832,10.17
2014-12-26,9.64,10.01,9.55,9.96,173712960,9.96
2014-12-25,9.34,9.7,9.25,9.68,138930144,9.68
2014-12-24,9.64,9.7,9.2,9.32,156487584,9.32
2014-12-23,10,10.09,9.57,9.62,191009168,9.62
2014-12-22,9.94,10.83,9.87,10.2,344958624,10.2
2014-12-19,9.54,10.13,9.41,9.92,278049024,9.92
2014-12-18,9.69,9.91,9.5,9.63,214184416,9.63
2014-12-17,9.4,9.74,9.18,9.62,274873472,9.62
2014-12-16,9,9.42,8.97,9.4,191545088,9.4
2014-12-15,9.15,9.18,8.87,9.07,113630064,9.07
2014-12-12,9.11,9.29,9.04,9.19,145055632,9.19
2014-12-11,9.14,9.26,9.05,9.13,156618976,9.13
2014-12-10,9.32,9.47,8.99,9.34,221868032,9.34
2014-12-09,9.94,10.45,9.31,9.34,375476640,9.34
2014-12-08,9.65,10.51,9.54,10.16,463069600,10.16
2014-12-05,9.34,9.97,9.09,9.96,660229312,9.96
2014-12-04,8.23,9.05,8.17,9.05,440254368,9.05
2014-12-03,8.22,8.4,8.11,8.21,242067824,8.21
2014-12-02,8.04,8.26,7.93,8.21,184665808,8.21
2014-12-01,7.98,8.28,7.95,8.01,187887392,8.01
2014-11-28,7.77,8.03,7.74,8.01,180867392,8.01
2014-11-27,7.82,7.92,7.75,7.83,97144184,7.83
2014-11-26,7.71,7.83,7.7,7.82,88335360,7.82
2014-11-25,7.65,7.71,7.63,7.69,43879092,7.69
2014-11-24,7.62,7.71,7.59,7.66,59830664,7.66
2014-11-21,7.55,7.6,7.52,7.59,25224724,7.59
2014-11-20,7.54,7.56,7.51,7.55,20898628,7.55
2014-11-19,7.58,7.59,7.54,7.55,25747130,7.55
2014-11-18,7.67,7.68,7.57,7.58,39288216,7.58
2014-11-17,7.72,7.75,7.66,7.68,35186972,7.68
2014-11-14,7.73,7.73,7.63,7.67,43709880,7.67
2014-11-13,7.72,7.79,7.67,7.76,60622444,7.76
2014-11-12,7.72,7.74,7.66,7.73,52600572,7.73
2014-11-11,7.71,7.89,7.7,7.76,143183440,7.76
2014-11-10,7.62,7.71,7.59,7.7,49623084,7.7
2014-11-07,7.63,7.67,7.57,7.59,36957056,7.59
2014-11-06,7.63,7.65,7.59,7.63,20894584,7.63
2014-11-05,7.62,7.65,7.6,7.61,27411268,7.61
2014-11-04,7.64,7.67,7.59,7.62,40077612,7.62
2014-11-03,7.68,7.7,7.62,7.66,39994724,7.66
2014-10-31,7.56,7.71,7.55,7.68,76994072,7.68
2014-10-30,7.54,7.59,7.51,7.57,38198884,7.57
2014-10-29,7.48,7.55,7.46,7.53,26758722,7.53
2014-10-28,7.4,7.48,7.39,7.48,20879612,7.48
2014-10-27,7.4,7.41,7.36,7.4,16339285,7.4
2014-10-24,7.43,7.46,7.4,7.42,17017276,7.42
2014-10-23,7.49,7.5,7.4,7.42,28525472,7.42
2014-10-22,7.52,7.52,7.49,7.51,15154194,7.51
2014-10-21,7.53,7.55,7.5,7.52,13723177,7.52
2014-10-20,7.53,7.55,7.51,7.54,15136179,7.54
2014-10-17,7.56,7.58,7.49,7.53,27679356,7.53
2014-10-16,7.56,7.63,7.53,7.57,33615400,7.57
2014-10-15,7.57,7.59,7.53,7.59,25640580,7.59
2014-10-14,7.59,7.62,7.56,7.58,21947528,7.58
2014-10-13,7.63,7.63,7.56,7.59,27500524,7.59
2014-10-10,7.67,7.69,7.6,7.63,29342884,7.63
2014-10-09,7.65,7.7,7.63,7.68,34994480,7.68
2014-10-08,7.64,7.65,7.6,7.65,26239880,7.65
2014-09-30,7.64,7.66,7.61,7.63,23812132,7.63
2014-09-29,7.64,7.67,7.62,7.64,23951614,7.64
2014-09-26,7.64,7.66,7.59,7.63,18166364,7.63
2014-09-25,7.7,7.71,7.62,7.66,26730630,7.66
2014-09-24,7.59,7.69,7.57,7.68,28059154,7.68
2014-09-23,7.57,7.61,7.56,7.6,19545838,7.6
2014-09-22,7.73,7.73,7.57,7.59,31433260,7.59
2014-09-19,7.73,7.75,7.69,7.75,23178958,7.75
2014-09-18,7.72,7.72,7.68,7.7,26264086,7.7
2014-09-17,7.69,7.73,7.67,7.72,20636168,7.72
2014-09-16,7.74,7.81,7.69,7.7,42205920,7.7
2014-09-15,7.73,7.75,7.69,7.74,29833564,7.74
2014-09-12,7.69,7.73,7.65,7.73,20671688,7.73
2014-09-11,7.68,7.77,7.66,7.69,26556696,7.69
2014-09-10,7.74,7.74,7.67,7.7,23648084,7.7
2014-09-09,7.79,7.8,7.75,7.76,20423800,7.76
2014-09-05,7.77,7.8,7.72,7.79,33767352,7.79
2014-09-04,7.73,7.77,7.68,7.76,37131460,7.76
2014-09-03,7.63,7.73,7.62,7.72,48559400,7.72
2014-09-02,7.59,7.64,7.56,7.62,30109576,7.62
2014-09-01,7.57,7.6,7.54,7.58,17879880,7.58
2014-08-29,7.59,7.61,7.5,7.56,26494342,7.56
2014-08-28,7.58,7.69,7.55,7.6,34041656,7.6
2014-08-27,7.6,7.63,7.56,7.58,14944234,7.58
2014-08-26,7.59,7.64,7.53,7.56,18703080,7.56
2014-08-25,7.57,7.65,7.55,7.6,23992510,7.6
2014-08-22,7.55,7.59,7.54,7.57,17649882,7.57
2014-08-21,7.62,7.62,7.51,7.55,26095054,7.55
2014-08-20,7.65,7.67,7.6,7.62,26487972,7.62
2014-08-19,7.62,7.7,7.58,7.69,38602440,7.69
2014-08-18,7.62,7.68,7.58,7.62,20280880,7.62
2014-08-15,7.54,7.66,7.54,7.61,19394376,7.61
2014-08-14,7.6,7.63,7.52,7.54,19786784,7.54
2014-08-13,7.67,7.69,7.58,7.61,22610806,7.61
2014-08-12,7.64,7.65,7.6,7.64,18416588,7.64
2014-08-11,7.59,7.66,7.55,7.65,20321392,7.65
2014-08-08,7.54,7.6,7.49,7.56,21007980,7.56
2014-08-07,7.65,7.67,7.51,7.53,30619262,7.53
2014-08-06,7.67,7.68,7.61,7.65,25400662,7.65
2014-08-05,7.72,7.75,7.66,7.7,19716064,7.7
2014-08-04,7.67,7.73,7.62,7.72,29280796,7.72
2014-08-01,7.67,7.75,7.62,7.64,27215272,7.64
2014-07-31,7.67,7.71,7.61,7.69,26738676,7.69
2014-07-30,7.57,7.82,7.57,7.71,104501728,7.71
2014-07-29,7.54,7.57,7.46,7.47,27448260,7.47
2014-07-28,7.42,7.58,7.39,7.52,47498640,7.52
2014-07-25,7.34,7.37,7.29,7.37,25083258,7.37
2014-07-24,7.22,7.36,7.22,7.32,49154104,7.32
2014-07-23,7.19,7.23,7.18,7.22,20427736,7.22
2014-07-22,7.14,7.2,7.14,7.2,18511830,7.2
2014-07-21,7.2,7.21,7.14,7.17,13331696,7.17
2014-07-18,7.2,7.23,7.19,7.22,10874548,7.22
2014-07-17,7.24,7.24,7.18,7.21,11066035,7.21
2014-07-16,7.21,7.24,7.2,7.24,15714148,7.24
2014-07-15,7.2,7.22,7.19,7.22,15155858,7.22
2014-07-14,7.17,7.2,7.15,7.19,8319613,7.19
2014-07-11,7.15,7.18,7.14,7.17,8542554,7.17
2014-07-10,7.15,7.17,7.14,7.15,8884492,7.15
2014-07-09,7.19,7.2,7.14,7.15,15851518,7.15
2014-07-08,7.19,7.21,7.18,7.2,9824088,7.2
2014-07-07,7.2,7.22,7.18,7.21,8422283,7.21
2014-07-04,7.22,7.22,7.19,7.21,8158014,7.21
2014-07-03,7.19,7.22,7.18,7.22,10263728,7.22
2014-07-02,7.18,7.2,7.17,7.2,8879037,7.2
2014-07-01,7.19,7.21,7.16,7.18,12553378,7.18
2014-06-30,7.19,7.23,7.18,7.21,9487420,7.21
2014-06-27,7.19,7.23,7.17,7.2,12259970,7.2
2014-06-26,7.19,7.21,7.16,7.2,14218091,7.2
2014-06-25,7.18,7.21,7.15,7.2,12391333,7.2
2014-06-24,7.2,7.22,7.17,7.2,6732394,7.2
